"date","mood","arousal","valence","activity","screen","call","sms","builtin","communication","entertainment","finance","game","office","other","social","travel","unknown","utilities","weather"
2014-02-18,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-02-19,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-02-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-02-21,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-02-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-02-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-02-24,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-02-25,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-02-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-02-27,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-02-28,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-03-01,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-03-02,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-03-03,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-03-04,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-03-05,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-03-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-03-07,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-03-08,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-03-09,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-03-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-03-11,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-03-12,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-03-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-03-14,8,-1,2,NA,5622.50999903679,1,NA,257.071,4362.429,269.409,NA,NA,NA,358.415,468.649,NA,NA,28.657,NA
2014-03-15,6.2,0,0.4,NA,8903.78200006485,1,NA,797.809,6364.988,2050.826,NA,NA,NA,174.931,683.573,NA,186.877,41.317,NA
2014-03-16,6.33333333333333,-0.666666666666667,0,NA,5548.0489988327,1,NA,389.773,4189.964,780.33,NA,NA,NA,88.685,NA,NA,55.344,28.373,NA
2014-03-17,6,-0.4,0.4,0.083370520962047,5613.82400131226,NA,1,839.597,1774.029,1020.822,NA,NA,NA,148.272,NA,NA,7.068,19.328,NA
2014-03-18,7.5,0.25,1,0.113195906157921,7177.02600073815,1,NA,422.774,4411.521,905.37,NA,NA,NA,67.334,NA,NA,28.289,57.916,NA
2014-03-19,6.75,1,0.75,0.133691264926536,6095.81000113487,NA,NA,235.807,4320.741,1031.177,NA,NA,NA,122.397,NA,NA,23.393,15.09,NA
2014-03-20,7.2,1,0.8,0.118456799386123,4862.8659992218,NA,1,122.208,4486.863,512.418,NA,NA,NA,157.196,NA,NA,NA,NA,NA
2014-03-21,7.25,0,1,0.0501977228988561,3032.31899952889,1,1,393.794,2267.379,375.792,NA,NA,NA,53.848,NA,NA,NA,NA,NA
2014-03-22,3.75,-2,-1,0.0185609923352062,1806.17999958992,NA,NA,13.041,1098.569,641.921,NA,NA,NA,118.051,NA,NA,NA,7.036,NA
2014-03-23,4.4,-1.4,-1,0.0852428972480861,3991.81600022316,1,1,269.464,2880.448,749.339,NA,NA,NA,91.277,NA,NA,NA,NA,NA
