"date","mood","arousal","valence","activity","screen","call","sms","builtin","communication","entertainment","finance","game","office","other","social","travel","unknown","utilities","weather"
2014-04-05,7.6,-0.8,0.8,0.0278597907389609,7930.45699810982,NA,NA,2074.759,1473.532,414.386,NA,304.83,NA,88.969,2144.604,NA,8.355,545.14,5.05
2014-04-06,7.2,-0.6,0.6,0.0122530367142436,5941.96299958229,NA,NA,886.498,1031.141,334.148,NA,NA,NA,50.495,2795.492,NA,21.088,NA,NA
2014-04-07,8,0.2,1.25,0.111666978996758,11464.4300012589,NA,NA,11171.201,2729.308,1081.947,23.638,170.601,NA,65.002,3634.215,305.136,NA,NA,100.141
2014-04-08,7.8,-0.2,1,0.0988504197495674,7366.3850030899,NA,NA,5743.239,3201.299,NA,NA,74.429,NA,57.39,1976.012,120.949,19.103,NA,54.055
2014-04-09,7,-1,1,0.243846870591234,12251.7259986401,NA,1,2656.331,2147.744,230.748,93.374,4.021,NA,214.173,1667.569,NA,NA,6.101,NA
2014-04-10,7,-1,0.5,0.223848427470912,8174.05499839783,NA,NA,3769.511,2599.008,901.585,38.558,108.076,NA,68.916,1479.618,692.413,NA,3.012,NA
2014-04-11,7.4,-0.6,0,0.33323058134917,25290.7469987869,1,1,3681.911,5391.554,136.636,130.212,NA,NA,122.259,1602.845,1441.197,NA,12.924,10.104
2014-04-12,7.8,-0.75,1.25,0.0371925559830255,11483.3720009327,NA,NA,3001.044,3099.481,471.004,46.519,986.146,NA,73.032,3307.002,NA,50.387,960.437,42.271
2014-04-13,7.2,-0.6,0.75,0.0424249773952519,9758.65600156784,1,NA,1807.876,3783.596,258.271,NA,378.55,NA,49.888,2498.357,NA,30.054,153.529,106.859
2014-04-14,6.8,-1,0.5,0.106119599937788,10881.6510016918,NA,1,5240.122,5093.312,38.197,45.421,94.11,NA,58.638,1918.339,7.27,NA,327.859,66.258
2014-04-15,6.8,-0.2,0.4,0.117258574965426,9848.60500025749,NA,NA,3396.787,3102.189,NA,153.303,943.384,NA,104.314,3156.292,NA,NA,2.097,43.824
2014-04-16,6.2,0.6,-0.4,0.0358923264784062,10166.2389991283,NA,NA,3731.152,3213.133,1455.42,76.496,4.053,NA,55.218,3582.524,NA,NA,NA,79.236
2014-04-17,7.8,-0.5,0.75,0.107937415254637,9490.89399909973,1,NA,2333.571,2112.354,689.76,31.242,158.831,NA,63.008,3298.566,NA,21.632,NA,NA
2014-04-18,5.8,-0.2,0,0.034751079750808,10498.7079977989,NA,NA,2534.024,2410.253,233.807,204.442,974.711,NA,51.486,1592.889,143.316,9.035,1304.114,71.178
2014-04-19,6.75,-0.5,0.333333333333333,0.0205451144127611,6235.21299958229,1,NA,976.055,816.547,284.044,24.537,NA,NA,48.751,2019.869,202.421,18.08,1162.082,22.188
2014-04-20,7.8,-0.4,1,0.0312838073964031,5530.36700105667,NA,NA,821.747,172.104,278.965,NA,211.4,NA,46.487,1985.29,NA,NA,781.87,NA
2014-04-21,8,-0.25,1,0.0756566698296156,4831.6460006237,NA,NA,1067.223,1165.481,57.391,NA,67.439,NA,46.432,1362.646,171.583,43.577,256.488,39.01
2014-04-22,7.25,-0.75,1,0.15725290411543,15713.0509989262,NA,NA,7992.443,2765.222,1580.793,NA,47.307,NA,46.479,2267.347,185.81,NA,20.337,44.756
2014-04-23,7,0.333333333333333,1,0.0951148533806444,9310.85699987412,NA,1,4591.195,3049.582,142.137,47.781,93.535,NA,50.004,2384.599,169.145,16.097,NA,53.44
2014-04-24,8,-0.2,1.2,0.11913178112779,11309.8960008621,NA,NA,3088.85,3579.206,417.576,NA,82.664,NA,52.496,2900.796,NA,NA,1800.118,130.565
2014-04-25,7,-0.2,1,0.130384957535608,4424.05499958992,NA,NA,3085.391,863.989,34.246,22.16,37.243,NA,58.244,1666.322,89.547,NA,10.033,62.71
2014-04-26,8,0,1,0.0330103700922375,4114.44899988174,NA,NA,779.335,558.98,77.907,24.242,59.433,23.264,56.092,1833.679,129.18,40.239,NA,104.557
2014-04-27,7.25,0.25,0.5,0.0531420002146689,13994.4199998379,NA,NA,966.298,1582.386,558.951,27.412,51.332,NA,56.368,1685.418,182.125,24.225,236.878,170.372
2014-04-28,7.5,-0.5,1,0.0923567273620886,2569.50799989701,NA,NA,1641.691,676.588,74.999,NA,NA,NA,673.05,290.841,81.965,NA,7.022,NA
2014-04-29,7,-0.2,0.8,0,NA,NA,NA,9.48,24.046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-04-30,6.2,-0.2,0.2,0.0305982562516532,1370.19799971581,NA,NA,212.455,380.809,NA,NA,NA,NA,23.65,792.076,NA,59.238,12.065,NA
2014-05-01,6.4,-0.6,0.4,0.0574909285561297,8454.42299890518,NA,1,6414.531,2024.128,455.105,89.153,621.991,NA,252.731,2350.038,82.913,37.83,NA,40.242
2014-05-02,6.8,-0.5,1,0.0822636340373376,8815.10000061989,1,NA,3910.626,2619.451,109.002,5.023,202.949,NA,218.451,2816.699,30.166,84.101,25.779,NA
2014-05-03,7.4,0,1,0.0541987480797516,7978.53600001335,1,NA,3301.658,2420.192,144.737,12.035,466.361,NA,53.655,1904.829,NA,46.672,217.981,43.93
2014-05-04,6.8,-0.4,0.666666666666667,0.0292191013874884,8414.12899899483,NA,NA,2362.658,1270.993,527.476,NA,371.341,NA,167.924,1541.535,118.765,NA,1047.926,30.084
2014-05-05,7,0.5,1,0.0639670648571115,6217.17099952698,NA,NA,1303.577,1317.171,208.636,8.033,306.696,NA,531.512,1655.158,47.757,83.581,454.036,53.47
2014-05-06,NA,NA,NA,0.0720954976869299,6754.8509991169,1,NA,6114.802,2253.145,202.795,13.349,21.003,NA,6.328,1779.927,28.435,32.111,66.22,31.711
2014-05-07,6.33333333333333,0,-0.25,0.027966857841786,6894.35199999809,1,NA,2543.592,1530.495,67.793,27.477,409.98,NA,107.934,2172.239,160.396,33.676,NA,9.186
2014-05-08,6.5,0,0.5,0.0357688707816894,2669.58300042152,NA,NA,2596.097,1174.962,NA,NA,148.867,NA,26.128,1240.587,NA,NA,NA,NA
