"date","mood","arousal","valence","activity","screen","call","sms","builtin","communication","entertainment","finance","game","office","other","social","travel","unknown","utilities","weather"
2014-02-17,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-02-18,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-02-19,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-02-20,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-02-21,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-02-22,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-02-23,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-02-24,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-02-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-02-26,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-02-27,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-02-28,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-03-01,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-03-02,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-03-03,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-03-04,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-03-05,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-03-06,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-03-07,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-03-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-03-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-03-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-03-11,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-03-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-03-13,7,-2,1,NA,1252.23699998856,1,NA,64.527,513.395,73.508,NA,NA,NA,467.236,174.092,NA,NA,NA,NA
2014-03-14,7.8,0.2,1.4,NA,7292.19600176811,NA,1,1799.371,4896.72,100.104,NA,NA,NA,1211.863,938.998,2862.415,NA,NA,NA
2014-03-15,7,0.2,0.4,NA,4634.64099860192,NA,1,2043.058,3284.496,671.05,NA,NA,NA,1157.275,565.078,NA,NA,NA,NA
2014-03-16,6.4,-1,0.2,NA,4920.90399909019,NA,NA,128.676,649.433,37.964,NA,NA,NA,2366.203,571.198,NA,141.978,NA,NA
2014-03-17,6.6,0,0.8,NA,3146.81599879265,NA,NA,1027.13,1015.131,NA,NA,NA,NA,701.473,426.51,236.148,NA,12.518,NA
2014-03-18,7,-0.2,0.8,NA,2748.71399855614,NA,NA,556.45,5882.241,2464.328,NA,NA,NA,981.155,416.742,NA,NA,NA,NA
2014-03-19,7.8,-0.2,1.2,NA,15164.4039990902,NA,NA,790.38,9544.346,1074.901,NA,NA,NA,4203.599,294.512,NA,NA,NA,NA
2014-03-20,6.4,0.8,0.2,0.287517396235884,8615.40499901772,NA,NA,462.368,7656.217,670.754,NA,NA,NA,626.924,497.604,NA,NA,NA,NA
2014-03-21,6.4,0.6,0.6,0.0846487121915734,12928.4999980927,NA,1,144.126,14123.69,1224.32,NA,NA,NA,109.863,162.789,47.006,NA,NA,NA
2014-03-22,8.4,1.4,1.6,0.0939734996186608,12328.1569998264,NA,NA,925.617,8514.374,2283.683,NA,NA,NA,355.851,654.827,NA,NA,NA,NA
2014-03-23,7.4,1.6,1,0.119162633868516,6527.2760002613,NA,1,387.581,5841.738,631.968,NA,NA,NA,316.934,249.133,NA,19.359,NA,NA
2014-03-24,8.8,1,1.8,0.307412985707103,4688.18700051308,1,NA,341.122,3140.384,944.294,NA,NA,NA,97.92,186.043,NA,NA,NA,NA
2014-03-25,7.6,1.2,1.8,0.0985684853651605,5026.94799947739,NA,NA,118.196,4322.161,208.497,NA,NA,NA,1139.661,381.363,550.99,NA,25.496,NA
2014-03-26,8.4,-1,1,0.303655124259914,9064.92799973488,1,1,430.692,7317.156,807.299,NA,NA,NA,265.619,244.409,NA,NA,NA,NA
2014-03-27,7.4,-1.2,1,0.108094129572087,8565.00399899482,NA,1,17.725,7266.265,733.764,NA,NA,NA,524.985,352.816,289.617,NA,NA,NA
2014-03-28,7.6,-1,1.2,0.335583739717865,12150.3519997597,NA,NA,1688.574,5064.351,1870.323,NA,NA,33.368,180.592,2989.314,263.015,NA,NA,NA
2014-03-29,7.2,-1.8,1,0.370085377984085,5617.91600131989,NA,NA,200.035,5104.884,713.427,NA,NA,NA,117.574,650.089,NA,NA,43.997,NA
2014-03-30,6.2,-0.6,0.8,0.110631520394719,9519.96399950981,NA,NA,27.302,7303.315,431.246,NA,NA,NA,1504.998,94.915,NA,NA,NA,NA
2014-03-31,7,-1.2,0.6,0.292226890756302,5456.01199793816,1,NA,543.161,2715.429,1138.739,NA,NA,NA,74.55,726.801,NA,NA,NA,NA
2014-04-01,7.5,-1.5,1,0.438748346560846,7494.29600048065,1,1,3216.021,4242.906,706.467,NA,NA,NA,136.147,4124.664,NA,13.519,NA,NA
2014-04-02,7.4,-1.2,1,0.371207945037994,9194.63899707794,NA,NA,390.476,20718.749,579.51,NA,NA,NA,100.02,830.586,NA,NA,NA,NA
2014-04-03,7.6,-0.8,1.4,0.303966145202819,11380.3019993305,1,1,1548.3,12564.073,368.455,NA,NA,NA,132.127,35.561,NA,NA,NA,NA
2014-04-04,7.8,-0.6,1,0.196742259412272,8050.79600334167,NA,1,918.598,7126.405,680.983,NA,NA,NA,201.698,398.068,NA,NA,NA,NA
2014-04-05,6.8,0.2,0.8,0.156461272179357,12458.3269996643,NA,NA,91.818,11836.062,549.493,NA,NA,NA,237.982,82.548,NA,NA,NA,NA
2014-04-06,6.25,0.25,0.75,0.320321023202379,8325.58799862861,NA,NA,1421.958,6148.126,346.799,NA,NA,NA,115.575,526.263,283.402,211.247,NA,NA
2014-04-07,7.4,-0.4,1,0.308004656765719,10618.1819992066,1,1,254.955,12359.838,206.152,NA,NA,NA,1502.867,916.995,NA,NA,NA,NA
2014-04-08,8.2,0.8,1.4,0.124335514782291,10384.8840022087,1,NA,1052.325,7986.181,985.211,NA,NA,NA,129.537,158.302,NA,NA,24.576,NA
2014-04-09,7.8,-0.2,1.2,0.190265148239873,14230.1479969025,1,NA,1151.705,11542.971,238.654,NA,NA,NA,874.868,209.894,NA,NA,316.434,NA
2014-04-10,7.6,0.6,1,0.309211404675854,8855.4799990654,1,NA,285.247,8405.13,NA,NA,NA,15.069,212.21,102.73,NA,NA,NA,NA
2014-04-11,6.8,0.6,1.2,0.46870776282541,3541.37999916077,1,NA,864.074,2146.671,NA,NA,NA,NA,230.848,375.111,NA,NA,NA,NA
2014-04-12,6.8,0.6,1,0.0954991948470209,7624.41800069808,1,1,393.128,5616.257,124.435,NA,NA,232.757,91.126,342.215,NA,NA,NA,NA
2014-04-13,6.6,0.2,0.8,0.151340679418381,8206.34299945832,NA,1,146.259,7647.544,NA,NA,NA,NA,256.995,156.511,NA,NA,NA,NA
2014-04-14,6.8,-0.6,1,0.261018543203294,4942.53599953652,NA,NA,376.565,4689.806,NA,NA,NA,NA,200.27,214.171,NA,56.776,NA,NA
2014-04-15,6,-0.8,0.2,0.369934555070097,8591.4170012474,1,1,2472.136,6524.437,NA,NA,NA,NA,587.126,178.809,NA,NA,NA,NA
2014-04-16,6,-0.25,0.75,0.338282828282828,6136.71899843216,1,NA,568.467,5001.134,NA,NA,NA,91.275,332.408,278.166,NA,NA,NA,NA
2014-04-17,6.4,-1.2,1,0.0414110526038063,11643.3320009708,1,1,287.691,9404.267,73.766,NA,NA,66.806,1440.858,320.403,NA,NA,NA,NA
2014-04-18,3.5,-1,-1,0.118181818181818,1017.90200042725,NA,NA,50.071,692.774,NA,NA,NA,NA,41.769,66.562,NA,NA,NA,NA
2014-04-19,7.2,-0.6,1,0.240850591796765,9011.54700088501,1,NA,1480.781,6410.086,380.846,NA,NA,119.26,537.467,192.804,15.463,NA,NA,NA
2014-04-20,6.6,-1.6,0.6,0.26218487394958,2915.60500097275,NA,NA,17.699,5446.16,11.45,NA,NA,15.035,107.948,175.827,NA,NA,NA,NA
2014-04-21,7.4,-1.4,1,0.157101768223775,10264.7400000095,NA,NA,261.909,8703.749,NA,NA,NA,NA,2403.464,139.592,43.746,NA,NA,NA
2014-04-22,5.75,-1.25,0.75,0.271035265384637,7339.74500083924,NA,1,1539.318,5355.558,NA,NA,NA,NA,272.85,495.325,NA,NA,NA,NA
2014-04-23,7.4,-0.8,1,0.43857334881771,3922.77300024033,1,1,521.996,2699.926,NA,NA,NA,NA,97.396,612.538,70.989,NA,NA,NA
2014-04-24,7.66666666666667,1,1,0.437810106560106,13762.4610016346,1,NA,579.919,2797.652,NA,NA,NA,NA,303.988,493.54,NA,NA,NA,NA
2014-04-25,7.75,-0.25,1.25,0.440568843957452,5650.64099931717,NA,NA,908.493,2634.043,NA,NA,NA,NA,205.896,1675.867,NA,298.577,NA,NA
2014-04-26,8.8,-1.8,1.6,0.169494766505636,7379.34699940681,NA,NA,134.419,5632.783,NA,NA,NA,NA,291.581,416.906,226.175,NA,NA,NA
2014-04-27,8,-0.5,1.5,0.264934672815108,13700.4249992371,NA,NA,771.598,10223.057,NA,NA,NA,16.433,1365.913,820.334,275.659,NA,69.928,NA
2014-04-28,8.16666666666667,-1.66666666666667,1,0.29876844002231,7873.46799993515,NA,NA,485.041,6129.391,NA,NA,NA,16.323,472.553,545.32,165.715,NA,NA,NA
2014-04-29,8.5,-1.25,1.25,0.325002877061394,8018.17500042915,NA,NA,401.316,6750.844,NA,NA,NA,15.158,197.333,185.668,496.216,NA,NA,NA
2014-04-30,7.83333333333333,-1.16666666666667,1,0.293671412174452,7364.61400103569,NA,NA,95.101,6282.335,NA,NA,NA,118.425,327.387,671.949,242.522,NA,NA,NA
2014-05-01,8.33333333333333,-1,2,0.146777630805409,6441.42199921608,NA,NA,159.039,5084.178,NA,NA,NA,98.043,550.983,419.401,268.906,142.69,NA,NA
2014-05-02,8,-1.4,0.8,0.223843228761559,8166.50099945069,NA,NA,1039.403,6354.046,NA,NA,NA,67.646,122.569,503.145,243.956,NA,NA,NA
2014-05-03,7.25,-0.75,1,NA,69.4070000648498,NA,NA,35.452,1.095,NA,NA,NA,NA,NA,69.036,NA,NA,NA,NA
2014-05-04,8,-1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
