"date","mood","arousal","valence","activity","screen","call","sms","builtin","communication","entertainment","finance","game","office","other","social","travel","unknown","utilities","weather"
2014-02-17,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-02-18,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-02-19,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-02-20,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-02-21,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-02-22,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-02-23,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-02-24,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-02-25,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-02-26,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-02-27,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-02-28,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-03-01,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-03-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-03-03,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-03-04,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-03-05,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-03-06,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-03-07,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-03-08,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-03-09,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-03-10,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-03-11,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-03-12,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-03-13,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-03-14,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-03-15,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-03-16,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-03-17,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-03-18,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-03-19,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-03-20,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-03-21,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-03-22,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-03-23,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-03-24,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-03-25,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-03-26,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-03-27,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-03-28,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-03-29,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-03-30,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-03-31,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-04-01,8,-1,1.5,NA,2715.74199914932,1,NA,259.094,1616.404,634.479,NA,NA,31.127,265.192,13.199,NA,NA,NA,NA
2014-04-02,7,0,0,0.164930964584895,6280.1409983635,1,1,557.439,2087.999,2623.638,NA,NA,54.259,82.982,NA,NA,NA,NA,NA
2014-04-03,8,-0.25,0.5,0.113518875002816,4925.86099863052,1,1,311.777,2912.942,4928.335,NA,NA,58.17,113.405,NA,319.217,NA,NA,NA
2014-04-04,8,-0.5,0.5,0.0739499212532008,5236.95600152016,1,1,314.78,3309.647,541.524,NA,NA,NA,57.909,61.324,NA,NA,5.024,NA
2014-04-05,8.4,1.4,1.4,0.0623570148156424,3774.86599993706,1,NA,1081.431,1495.692,860.066,NA,NA,NA,131.054,198.788,NA,NA,NA,NA
2014-04-06,7.6,-1.4,0,0.0647061348433981,4897.05799818039,1,1,588.083,2678.576,1167.762,NA,NA,NA,69.807,188.905,243.971,NA,10.029,NA
2014-04-07,7,-0.5,-0.5,0.0824316086519032,5388.95900011063,1,1,1756.486,2536.077,1211.113,NA,NA,NA,52.179,NA,90.097,NA,NA,22.431
2014-04-08,7.8,0.4,0.2,0.0716250473684298,4178.65400147438,1,NA,667.61,2672.69,1340.512,NA,NA,NA,65.568,48.579,NA,NA,NA,NA
2014-04-09,7.33333333333333,0.333333333333333,0,0.08153097175156,4124.16200017929,1,1,1278.908,2117.498,2505.198,NA,NA,NA,26.176,NA,85.631,NA,NA,NA
2014-04-10,8.25,0.25,0.75,0.0853813925250737,4656.29499959946,1,NA,168.361,3238.077,844.404,NA,NA,NA,84.356,338.005,NA,NA,NA,NA
2014-04-11,7.66666666666667,0.333333333333333,0.333333333333333,0.133643944845095,4124.54299926758,1,1,1443.436,2012.92,532.339,NA,NA,NA,98.088,NA,114.418,NA,13.118,NA
2014-04-12,8.6,0.2,0.8,0.092561274145467,2406.44800019264,1,1,380.201,1372.137,505.393,NA,NA,NA,49.503,92.404,NA,NA,NA,NA
2014-04-13,8,-1.8,0.6,0.11486812630777,3048.48999881744,1,NA,189.339,1520.744,661.141,NA,NA,NA,82.591,476.366,32.605,NA,NA,NA
2014-04-14,7.5,0.5,0.5,0.0927647268668214,6525.47399878502,1,NA,1518.633,3543.626,621.171,NA,NA,NA,54.104,NA,32.21,NA,NA,NA
2014-04-15,8,0,0.5,0.12035484073371,5020.39699983596,1,1,635.303,1951.846,1036.17,NA,NA,NA,127.472,NA,NA,NA,NA,NA
2014-04-16,8.5,0.75,0.75,0.13353057634705,4246.23299980163,1,NA,1230.116,2011.749,2182.14,NA,NA,NA,47.743,363.157,243.929,NA,NA,NA
2014-04-17,8.5,0.5,0.5,0.0672055616251388,4340.20500087738,1,NA,1464.969,1255.765,1050.276,NA,NA,NA,17.195,NA,149.346,NA,NA,NA
2014-04-18,7,-1,1,0.13305988826479,8390.1779999733,1,1,987.761,2287.957,3508.627,NA,NA,NA,130.114,159.728,100.335,NA,NA,NA
2014-04-19,NA,NA,NA,0.0475678976699848,1276.68099999428,1,NA,600.774,374.339,108.147,NA,NA,NA,NA,186.998,NA,NA,NA,NA
2014-04-20,NA,NA,NA,0.0552318385900861,2566.1970000267,NA,NA,146.472,1650.384,225.367,NA,NA,NA,6.122,NA,NA,NA,NA,NA
2014-04-21,7,-1.75,-0.25,0.0298600554421163,4231.04000020027,1,NA,157.154,3546.58,313.471,NA,NA,NA,45.141,NA,NA,NA,NA,NA
2014-04-22,NA,NA,NA,0.125400652801447,6734.57399988174,1,NA,679.454,2606.399,740.153,NA,NA,NA,NA,595.034,169.197,NA,NA,NA
2014-04-23,7,-0.2,0,0.112518103700037,5594.70699906349,1,1,912.164,1907.874,824.497,NA,NA,NA,288.339,106.273,179.338,NA,NA,NA
2014-04-24,8,0,0.5,0.0619974501222315,4941.21499919891,1,NA,1261.81,2787.632,413.148,NA,NA,NA,26.28,112.34,24.266,NA,NA,NA
2014-04-25,8,0,1,0.133502099756543,18788.1590006352,1,1,1097.703,3378.699,651.248,NA,NA,NA,236.387,349.706,132.85,NA,NA,NA
2014-04-26,NA,NA,NA,0.184627453930036,2330.22399997711,NA,NA,NA,1918.319,790.061,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-04-27,7,-0.5,0,0.0482765163116772,5141.03399944305,1,NA,1398.979,1065.272,646.497,NA,NA,NA,16.711,403.209,NA,NA,447.418,NA
2014-04-28,7.5,0.25,0.25,0.0637138579388094,7088.69599986077,1,NA,2309.184,2618.061,4963.498,NA,NA,NA,31.539,NA,70.423,NA,NA,NA
2014-04-29,8,1,0.666666666666667,0.109837797066518,2564.85399961472,1,NA,93.159,2002.434,506.892,NA,NA,NA,102.581,NA,NA,NA,NA,NA
2014-04-30,7,0,0.666666666666667,0.0812705433594,7621.39899969101,1,1,482.125,1788.789,651.805,NA,NA,NA,42.578,NA,103.49,NA,NA,NA
2014-05-01,7,-1,0,0.147970133618323,3929.96899938584,1,NA,544.381,2831.296,863.829,NA,NA,NA,40.7,NA,NA,NA,NA,NA
2014-05-02,7.25,-0.25,0,0.0936471840702362,3621.99300098419,1,NA,585.379,2228.205,759.534,NA,NA,NA,40.26,NA,89.955,NA,NA,NA
2014-05-03,7.5,-1,0.5,0.0821793589734117,2209.78999972343,1,NA,272.89,1717.799,199.436,NA,NA,NA,16.111,NA,NA,NA,NA,NA
2014-05-04,8.66666666666667,0.333333333333333,1,0.116280947656067,4015.88399958611,1,1,390.165,2605.712,236.739,NA,NA,NA,166.292,430.094,NA,NA,NA,NA
2014-05-05,7,-0.5,0,0.035089340366364,5759.75400018692,1,NA,1561.07,3659.592,2165.427,NA,NA,NA,35.454,341.933,NA,NA,NA,NA
2014-05-06,NA,NA,NA,0.136995206861567,3953.40199971199,1,NA,602.061,3399.973,1029.736,NA,NA,NA,70.409,NA,NA,NA,NA,NA
2014-05-07,6,-1,-0.25,0.0683385828416186,3372.44499897957,1,NA,725.719,2027.831,589.095,NA,NA,NA,46.367,1.007,113.693,NA,NA,NA
2014-05-08,6,-1,-0.25,0.111642282567169,5126.64800047874,1,1,2509.937,3658.155,487.702,NA,NA,NA,66.38,NA,NA,NA,NA,NA
2014-05-09,7.75,-0.25,0.75,0.0774799083560095,5151.195997715,1,NA,1177.331,2304.92,1143.826,NA,NA,NA,32.406,NA,575.667,NA,NA,NA
2014-05-10,7.25,-0.75,0.5,0.131632968578536,4791.85400056839,1,NA,748.367,2962.648,3210.226,NA,NA,NA,52.517,1881.155,666.579,NA,NA,NA
2014-05-11,7.2,-1.4,0.2,0.0993276487616529,2117.05300045013,1,NA,403.986,1289.197,418.114,NA,NA,6.036,221.782,NA,NA,NA,NA,NA
2014-05-12,7.2,-0.6,0.2,0.110478029937228,825.763999700547,NA,NA,NA,552.23,274.275,NA,NA,NA,19.545,NA,NA,NA,NA,NA
2014-05-13,NA,NA,NA,0.0902538726333907,473.704999923706,NA,NA,235.942,382.468,52.797,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-05-14,NA,NA,NA,0.164353897343588,703.315999746322,NA,NA,215.723,375.609,111.207,NA,NA,NA,NA,NA,NA,NA,NA,NA
