"date","mood","arousal","valence","activity","screen","call","sms","builtin","communication","entertainment","finance","game","office","other","social","travel","unknown","utilities","weather"
2014-02-17,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-02-18,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-02-19,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-02-20,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-02-21,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-02-22,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-02-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-02-24,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-02-25,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-02-26,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-02-27,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-02-28,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-03-01,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-03-02,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-03-03,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-03-04,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-03-05,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-03-06,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-03-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-03-08,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-03-09,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-03-10,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-03-11,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-03-12,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-03-13,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-03-14,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-03-15,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-03-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-03-17,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-03-18,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-03-19,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-03-20,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-03-21,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-03-22,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-03-23,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-03-24,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-03-25,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-03-26,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-03-27,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-03-28,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-03-29,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-03-30,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-03-31,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-04-01,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-04-02,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-04-03,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-04-04,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-04-05,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-04-06,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-04-07,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-04-08,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-04-09,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-04-10,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-04-11,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-04-12,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-04-13,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-04-14,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-04-15,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-04-16,7,0.333333333333333,0.333333333333333,0.0950275134657472,4944.64600086212,1,1,765.403,1107.526,296.785,NA,NA,NA,107.616,4201.894,NA,27.135,164.932,NA
2014-04-17,7.2,-0.6,1.4,0.0721721898516276,18855.7810015678,1,NA,2442.832,855.145,920.187,NA,NA,NA,152.834,6420.129,NA,NA,283.445,NA
2014-04-18,7.4,-0.8,0.8,0.0368519121456525,11030.0360002518,1,1,1555.364,1833.537,675.412,NA,NA,NA,70.61,6281.793,NA,NA,102.369,NA
2014-04-19,7.66666666666667,0,1,0.259305636568186,10002.6240003109,1,NA,2879.461,3989.499,438.444,NA,NA,NA,55.455,3960.064,NA,NA,83.939,NA
2014-04-20,7.4,0,1.2,0.0307581531086711,10896.4829993248,NA,NA,669.192,1610.627,1526.508,NA,NA,NA,60.848,7490.158,NA,NA,3.01,NA
2014-04-21,7.2,0,0.6,0.0394606462747882,10135.542999506,NA,NA,621.054,1390.445,962.34,NA,NA,NA,63.275,9143.261,3.019,NA,4.208,NA
2014-04-22,6.2,-0.6,-0.2,0.0854966651898088,20483.7579989433,1,NA,3783.64,1313.671,1181.991,NA,NA,NA,78.571,7711.711,52.436,NA,90.132,NA
2014-04-23,5.2,-0.2,-0.6,0.00771520019712941,6824.43000030517,1,NA,865.25,276.217,1206.39,NA,NA,NA,68.263,4779.349,NA,NA,NA,NA
2014-04-24,7,-0.25,1,0.13427262029035,8703.77899980545,1,1,3016.506,2518.994,775.334,NA,NA,NA,67.548,3687.524,50.712,NA,90.989,NA
2014-04-25,8.4,0.8,1,0.146450391096591,9947.08599758148,1,1,4057.256,1350.607,538.707,NA,NA,NA,52.192,2758.26,36.169,NA,NA,NA
2014-04-26,7.6,0.4,1,0.339286635967108,7284.81900048256,1,1,3269.482,331.262,226.066,NA,NA,NA,55.925,3123.041,NA,4.011,22.697,NA
2014-04-27,6.2,-1.2,0.4,0.0546543029334184,19398.5770015717,1,NA,2664.72,1552.459,1661.577,NA,NA,NA,61.369,8264.921,NA,NA,4.976,NA
2014-04-28,6.75,-1.25,0.75,0.0828212590681399,22753.7880005836,1,1,4788.742,2341.413,937.921,3.106,NA,NA,58.507,7012.939,NA,NA,336.839,NA
2014-04-29,6.2,-0.4,0.4,0.0797437944616103,16450.8739991188,1,1,4191.713,1237.23,857.68,NA,NA,NA,139.282,6191.383,144.481,NA,97.636,NA
2014-04-30,6.4,-1,0.25,0.0132737205051512,8104.13999962807,1,NA,1088.13,671.269,897.88,NA,NA,NA,54.554,4923.761,219.173,NA,NA,NA
2014-05-01,7,-0.6,0.5,0.177723190227852,12834.0390000343,1,1,3494.608,1378.092,715.564,NA,NA,NA,57.278,4261.196,205.063,NA,131.141,NA
2014-05-02,NA,NA,NA,0.340592462427862,862.980999708176,1,1,726.646,NA,NA,NA,NA,NA,55.167,NA,NA,NA,80.278,NA
2014-05-03,NA,NA,NA,0.30104678419607,2491.05999970436,1,1,12892.035,93.648,2.01,NA,NA,NA,18.422,509.768,NA,NA,NA,NA
2014-05-04,8.33333333333333,0,1,0.343311855874491,6943.41799807548,1,1,3824.528,311.325,502.336,NA,NA,NA,37.559,1999.901,129.967,NA,97.765,NA
2014-05-05,7.25,-1.5,0.666666666666667,0.0354095535617621,12216.9079992771,1,NA,3414.668,1233.936,840.08,NA,NA,NA,39.151,5646.145,74.654,NA,NA,NA
2014-05-06,NA,NA,NA,0.0769385165073102,17911.2750003338,1,1,1554.774,6864.139,723.581,NA,NA,NA,NA,6229.699,185.134,NA,15.463,NA
2014-05-07,5,-0.25,-0.5,0.00175960214594312,3168.81599998474,1,1,286.712,7.083,562.447,NA,NA,NA,41.493,2265.029,2.163,NA,3.187,NA
2014-05-08,6.6,-0.8,0.4,0.0778141717513917,12633.1590001583,1,NA,2349.879,1892.662,1375.026,NA,NA,NA,112.786,6022.155,359.32,NA,105.098,NA
2014-05-09,4.8,0.2,-0.2,0.0154516762383894,12136.3390004635,NA,1,1252.469,682.069,815.863,NA,NA,NA,59.405,7554.27,0.08,NA,16.477,NA
2014-05-10,7.6,-0.4,1,0.0949680841152217,17083.7190001011,1,NA,2091.841,867.868,603.767,NA,NA,NA,68.538,2596.438,39.492,NA,175.48,NA
2014-05-11,6,0,0.4,0.0111634269971354,5336.35400056839,NA,NA,259.893,504.549,357.637,NA,NA,NA,53.551,4154.944,4.027,NA,NA,NA
2014-05-12,6,-0.75,0.5,0.0240174121696935,15521.8710002899,1,NA,1196.532,1065.885,474.836,NA,NA,NA,293.233,4037.567,NA,NA,NA,NA
2014-05-13,5,0.5,0,0.139963880288958,18801.1679992676,1,NA,2505.53,4340.772,1232.103,NA,NA,NA,39.548,3313.274,6.135,NA,29.384,NA
2014-05-14,6.83333333333333,-0.333333333333333,0.4,0.00398550724637681,4149.1789996624,NA,NA,268.98,160.882,1093.614,NA,NA,NA,100.961,3754.772,NA,NA,NA,NA
2014-05-15,6,0,0.5,0.122531354289462,15883.1859982014,1,1,3280.553,3473.433,740.447,NA,NA,NA,79.053,7101.031,227.708,2.007,34.972,NA
2014-05-16,7,0.4,1,0.0517813470455544,5389.55900025368,1,NA,2212.464,541.08,660.791,NA,NA,NA,76.681,2753.987,NA,NA,29.338,NA
2014-05-17,6,0.25,0.333333333333333,0.0166735672026963,9750.84999966622,1,1,1018.142,428.547,442.67,NA,NA,NA,39.427,3826.559,NA,NA,NA,NA
2014-05-18,6,-0.6,0.2,0.0177323476738092,18269.71200037,NA,NA,2752.733,2062.496,759.2,NA,NA,NA,62.633,8658.553,NA,NA,11.121,NA
2014-05-19,6.2,-0.2,0.2,0.00914679932891415,5052.91400027275,NA,NA,240.592,364.29,320.934,NA,NA,NA,90.207,3250.709,NA,NA,NA,NA
2014-05-20,6.25,-0.5,0.5,0.0183821482111677,7906.68600082397,NA,NA,487.319,867.491,656.332,NA,NA,NA,45.442,5740.547,NA,2.01,NA,NA
2014-05-21,6,-0.666666666666667,-0.2,0.0171809097202099,9770.72199988365,NA,NA,661.679,1814.912,1066.602,NA,NA,NA,67.921,6092.751,NA,NA,NA,NA
2014-05-22,5.75,0.5,0.25,0.0115380050325215,4429.14700078964,1,NA,749.77,1272.216,270.475,NA,NA,NA,51.243,1932.286,NA,NA,8.838,NA
2014-05-23,5.83333333333333,-0.833333333333333,0,0.0205866167730574,6839.81899952889,1,1,980.646,819.557,1030.192,NA,NA,NA,105.913,6441.293,NA,NA,NA,NA
2014-05-24,6.4,-0.75,0.25,0.0142860995120123,10875.109000206,NA,NA,947.927,2263.912,1130.015,NA,NA,NA,78.431,5702.319,NA,NA,NA,NA
2014-05-25,6.25,-0.75,0.333333333333333,0.161470191966596,7342.48499917984,1,1,2687.659,1567.344,194.216,NA,NA,NA,42.362,2868.671,NA,NA,96.982,NA
2014-05-26,5.4,-0.4,0,0.11520148444226,18925.1879992485,1,1,1048.739,1235.537,688.769,NA,NA,130.53,235.837,5441.264,NA,NA,NA,NA
2014-05-27,6.2,-0.6,0.4,0.0127042371128741,4089.87900066376,1,1,726.391,2078.403,124.694,NA,NA,NA,142.686,2010.364,NA,NA,56.173,NA
2014-05-28,8.2,0,1.2,0.103301169653016,14320.8679981232,1,1,2551.046,1936.415,614.706,NA,NA,357.909,529.946,5361.211,NA,NA,30.666,NA
2014-05-29,7,-1.33333333333333,1,0.169354454442939,3569.34100031853,1,1,400.034,435.105,136.738,NA,NA,NA,29.202,1789.922,0.939,NA,3.199,NA
2014-05-30,6.8,-0.8,-0.4,0.192901189061001,9497.64699888229,1,NA,3044.03,1670.842,260.22,NA,NA,NA,52.61,3166.409,1052.648,8.072,232.825,NA
2014-05-31,7,-2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
