"date","mood","arousal","valence","activity","screen","call","sms","builtin","communication","entertainment","finance","game","office","other","social","travel","unknown","utilities","weather"
2014-02-17,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-02-18,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-02-19,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-02-20,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-02-21,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-02-22,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-02-23,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-02-24,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-02-25,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-02-26,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-02-27,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-02-28,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-03-01,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-03-02,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-03-03,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-03-04,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-03-05,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-03-06,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-03-07,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-03-08,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-03-09,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-03-10,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-03-11,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-03-12,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-03-13,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-03-14,NA,NA,NA,NA,1605.16500043869,1,NA,157.953,1025.031,160.458,NA,NA,NA,223.087,28.631,NA,NA,NA,NA
2014-03-15,NA,NA,NA,NA,5309.25500106812,1,NA,2421.109,2198.703,351.694,NA,NA,NA,NA,NA,125.7,NA,NA,NA
2014-03-16,6.33333333333333,0,0,NA,4902.62699961663,1,1,2481.735,3151.829,88.392,NA,NA,NA,408.106,181.591,NA,NA,NA,NA
2014-03-17,6.75,0.5,0.5,0.168068414950326,10159.7690012455,1,NA,1229.347,4518.116,2511.178,NA,NA,NA,103.699,103.028,NA,NA,NA,NA
2014-03-18,8.2,0.6,0.8,0.219484384255438,4512.47100138664,1,1,2604.521,3933.081,88.943,NA,NA,NA,88.722,212.364,NA,NA,NA,NA
2014-03-19,6.8,0.4,0.4,0.315631756850643,8182.7570002079,1,1,1554.558,2596.989,196.139,NA,NA,NA,105.536,47.815,567.165,NA,NA,NA
2014-03-20,7.25,-0.5,0.75,0.239024960210347,4360.33400130272,1,1,1777.977,2154.371,148.18,NA,NA,NA,86.857,131.598,NA,NA,NA,NA
2014-03-21,7.5,-0.75,0.75,0.289627924900107,11155.8509991169,1,1,2230.303,2858.446,459.604,NA,NA,NA,37.944,388.021,442.296,NA,NA,NA
2014-03-22,6.5,-1,-0.5,0.446043686832901,7589.56200289727,1,1,1930.266,1852.256,662.911,NA,NA,NA,43.204,408.667,780.617,NA,NA,NA
2014-03-23,6.25,-1,0,0.269697157033532,4528.52700066567,1,1,894.506,1839.899,388.098,NA,NA,NA,61.865,171.994,1263.189,NA,NA,NA
2014-03-24,6.4,0.2,-0.2,0.1561246625015,2766.64899945259,1,NA,1073.496,3012.181,532.013,NA,NA,NA,81.808,232.801,NA,NA,NA,NA
2014-03-25,7.75,-1.25,0.75,0.230513654856454,4637.38800001145,1,NA,2806.931,2788.751,459.589,NA,NA,NA,50.375,148.447,NA,NA,NA,NA
2014-03-26,7.2,-1.2,0.4,0.293953462405842,6069.6300008297,1,NA,1736.744,2533.849,767.156,NA,NA,NA,41.95,1562.023,NA,NA,NA,NA
2014-03-27,7.25,0,0.5,0.228849008922151,5746.9809987545,1,NA,2267.124,2997.043,490.781,NA,NA,NA,731.853,81.366,NA,NA,67.163,NA
2014-03-28,6.8,-0.6,0.6,0.26159832807814,3969.58099913597,1,1,1053.115,1245.127,707.64,NA,NA,NA,125.669,2717.215,NA,NA,NA,NA
2014-03-29,7.25,-0.75,0.25,0.432469355060395,4403.24299764633,1,NA,17416.28,2141.489,1063.268,NA,NA,NA,52.841,523.854,501.644,NA,NA,NA
2014-03-30,7,-1,0.75,0.241887308793968,3937.04199886322,1,1,772.787,1110.856,1278.594,NA,NA,NA,113.228,322.901,NA,NA,NA,NA
2014-03-31,7.2,-0.8,0.4,0.156372923664277,4774.14599919319,1,1,1186.299,2481.322,354.965,NA,NA,NA,81.741,2038.631,NA,NA,NA,NA
2014-04-01,7.4,-0.2,0.8,0.261960532189054,3297.73799705505,1,1,2790.014,1322.61,76.976,NA,NA,NA,186.413,191.121,345.2,NA,NA,NA
2014-04-02,6.4,-0.6,-0.2,0.319120561799634,6883.82800173759,1,NA,1964.21,2942.423,1021.454,NA,NA,NA,128.744,317.901,NA,NA,NA,NA
2014-04-03,5.75,-0.25,0,0.322505839909989,6814.30000090599,1,NA,1269.299,3595.431,548.787,NA,NA,NA,56.132,122.421,318.294,NA,NA,NA
2014-04-04,6.4,-1.2,0.2,0.22727035660896,3653.37000083923,1,NA,1121.689,2809.436,809.728,NA,NA,NA,148.852,141.32,NA,NA,NA,NA
2014-04-05,7.4,0,0.6,0.321919722480525,13067.9260015488,1,1,1957.087,2309.659,794.484,NA,NA,NA,100.897,258.611,388.071,NA,NA,NA
2014-04-06,4.5,-1,-1.25,0.215209520160852,3649.96799850464,1,NA,576.385,1224.322,618.98,NA,NA,NA,30.011,391.542,NA,NA,NA,NA
2014-04-07,6.8,0,0.6,0.1365237343961,6366.52699828148,1,NA,1482.948,3761.179,737.916,NA,NA,NA,106.148,2008.184,NA,NA,NA,NA
2014-04-08,6.25,-0.25,0.5,0.261951037621564,4079.15199947357,1,1,1184.778,2265.855,193.48,NA,NA,NA,134.434,636.253,NA,NA,NA,NA
2014-04-09,7.25,-0.5,0.25,0.24720984804489,5757.42600059509,1,1,1427.022,2255.545,627.236,NA,NA,NA,61.397,294.321,NA,NA,NA,NA
